Date,Site Name,Status,Overpassing Time (Local),Overpassing Time (UTC),Overpassing Satellite,Detected Emission Rate in kg/hr,Detected Emission Rate Low in kg/hr,Detected Emission Rate High in kg/hr,Latitude (source location),Longitude (source location),Cloud Cover in %,Wind Speed in m/s,Wind Direction in °
2024-10-28,BAKE #1 A BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:35:05,17:35:05,S2,,,,,,94.0,,
2024-10-28,BAKE #1 BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:35:05,17:35:05,S2,,,,,,94.0,,
2024-10-28,BAKER 46 BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:34:51,17:34:51,S2,,,,,,79.0,,
2024-10-28,BANK CTB,OVERPASS - NO USABLE DATA - CLOUDS,12:35:05,17:35:05,S2,,,,,,94.0,,
2024-10-28,BANKER PAD 2 (2WP),NO OVERPASS,,,,,,,,,,,
2024-10-28,BANKER PAD 3 (4WP),NO OVERPASS,,,,,,,,,,,
2024-10-28,BARB 10 BATTERY,NO OVERPASS,,,,,,,,,,,
2024-10-28,BARNEY BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:35:07,17:35:07,S2,,,,,,50.0,,
2024-10-28,BARSTOW 33-33 H BATTERY,NO OVERPASS,,,,,,,,,,,
2024-10-28,BEATRIZ (50) BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:35:07,17:35:07,S2,,,,,,31.0,,
2024-10-28,BEAUJOLAIS BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:34:51,17:34:51,S2,,,,,,23.0,,
2024-10-28,BEDWELL 15 BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:35:05,17:35:05,S2,,,,,,73.0,,
2024-10-28,BENTON #2 BATTERY,NO OVERPASS,,,,,,,,,,,
2024-10-28,BESSIE 44-41 PAD,OVERPASS - NO USABLE DATA - CLOUDS,12:35:05,17:35:05,S2,,,,,,56.00000000000001,,
2024-10-28,BESSIE 44-41 PAD 3,OVERPASS - NO USABLE DATA - CLOUDS,12:35:05,17:35:05,S2,,,,,,56.00000000000001,,
2024-10-28,BIG JAKE BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:35:05,17:35:05,S2,,,,,,94.0,,
2024-10-28,BIG MAX 23 SE BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:35:07,17:35:07,S2,,,,,,35.0,,
2024-10-28,BIG MAX 23 SW BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:35:07,17:35:07,S2,,,,,,35.0,,
2024-10-28,BIG MAX 24 NW BATTERY,NO OVERPASS,,,,,,,,,,,
2024-10-28,BIG MAX 24 SE BATTERY,NO OVERPASS,,,,,,,,,,,
2024-10-28,BIG MAX 24 SW BATTERY,NO OVERPASS,,,,,,,,,,,
2024-10-28,BIG MAX 25 NE BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:35:07,17:35:07,S2,,,,,,35.0,,
2024-10-28,BIG MAX 25 NW BATTERY,NO OVERPASS,,,,,,,,,,,
2024-10-28,BIG MAX 25 SE BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:35:07,17:35:07,S2,,,,,,35.0,,
2024-10-28,BIG MAX 26 NW BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:35:07,17:35:07,S2,,,,,,35.0,,
2024-10-28,BIG MAX 26 SE BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:35:07,17:35:07,S2,,,,,,35.0,,
2024-10-28,BIG VALLEY 6-20 BATTERY,NO OVERPASS,,,,,,,,,,,
2024-10-28,BILLIE RUTH ADAMS 38 BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:34:51,17:34:51,S2,,,,,,79.0,,
2024-10-28,BINKLEY 37 1H BATTERY,NO OVERPASS,,,,,,,,,,,
2024-10-28,BISCUIT 18 BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:35:05,17:35:05,S2,,,,,,23.0,,
2024-10-28,BLACK CTB,OVERPASS - NO USABLE DATA - CLOUDS,12:35:05,17:35:05,S2,,,,,,91.0,,
2024-10-28,BLACK D 1 BATTERY,NO OVERPASS,,,,,,,,,,,
2024-10-28,BLACK MAMBA BATTERY,NO OVERPASS,,,,,,,,,,,
2024-10-28,BLACK STONE 1 2H BATTERY,NO OVERPASS,,,,,,,,,,,
2024-10-28,BLACK STONE 101 BATTERY,NO OVERPASS,,,,,,,,,,,
2024-10-28,BLACK STONE 2-11 1H BATTERY,NO OVERPASS,,,,,,,,,,,
2024-10-28,BLACK STONE 6 1H BATTERY,NO OVERPASS,,,,,,,,,,,
2024-10-28,BLACK STONE H BATTERY,NO OVERPASS,,,,,,,,,,,
2024-10-28,BLACK STONE STATE 12 2H BATTERY,NO OVERPASS,,,,,,,,,,,
2024-10-28,BLACKFOOT EAST 705JM/705LS/ (2WP),OVERPASS - NO DETECTION,12:35:05,17:35:05,S2,,,,,,0.0,,
2024-10-28,BLACKFOOT EAST 706 (4 WP),OVERPASS - NO DETECTION,12:35:05,17:35:05,S2,,,,,,0.0,,
2024-10-28,BLACKFOOT EAST 707 (4WP),OVERPASS - NO DETECTION,12:35:05,17:35:05,S2,,,,,,0.0,,
2024-10-28,BLACKFOOT EAST_WEST 700S 4 WELL PAD,OVERPASS - NO DETECTION,12:35:05,17:35:05,S2,,,,,,0.0,,
2024-10-28,BLACKFOOT H BATTERY,OVERPASS - NO DETECTION,12:35:05,17:35:05,S2,,,,,,0.0,,
2024-10-28,BLACKFOOT WEST 701/702 (1WP),OVERPASS - NO DETECTION,12:35:05,17:35:05,S2,,,,,,0.0,,
2024-10-28,BLAIR B BATTERY,NO OVERPASS,,,,,,,,,,,
2024-10-28,BLAZER 14 BATTERY,NO OVERPASS,,,,,,,,,,,
2024-10-28,BLOCK HA 7 BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:34:51,17:34:51,S2,,,,,,39.0,,
2024-10-28,BLOCK HA 701-702,OVERPASS - NO USABLE DATA - CLOUDS,12:34:51,17:34:51,S2,,,,,,39.0,,
2024-10-28,BLUEGILL 42 BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:35:05,17:35:05,S2,,,,,,100.0,,
2024-10-28,BOMBARDIER A UNIT,OVERPASS - NO DETECTION,12:35:07,17:35:07,S2,,,,,,13.0,,
2024-10-28,BOMBARDIER A/B 405/406/407/406 LS/WA (4WP),OVERPASS - NO DETECTION,12:35:07,17:35:07,S2,,,,,,13.0,,
2024-10-28,BOMBARDIER H BATTERY,OVERPASS - NO USABLE DATA - CLOUDS,12:35:07,17:35:07,S2,,,,,,28.999999999999996,,
